pais,categoria,tematica,tecnica,soporte,medidas,fecha,etiquetas,precio,obra,autor,link
Espana,Pintura,Animales,Oleo,Lienzo,200 x 200 cm,Artelista desde: 17 de Junio de 2022,sin etiquetas,160.023 MX$,Luna,Fernando Hervas,https://www.artelista.com/obra/pintura-animal-luna-1231134
Mexico,Pintura,Paisaje,Otros,Tela,80 x 60 cm,Artelista desde: 19 de Mayo de 2022,arte,130.019 MX$,Un portal en el oasis ,Ismael  Moncada bravo ,https://www.artelista.com/obra/pintura-paisaje-un-portal-en-el-oasis-1229986
Mexico,Pintura,Desnudos,Oleo,Lienzo,40 x 60 cm,Artelista desde: 18 de Julio de 2022,"desnudo, dia, noche, luz, mujer, joven",13.860 MX$,El sueno diurno,Benjamin Alejandro Luna,https://www.artelista.com/obra/pintura-desnudo-el-sueno-diurno-1232516
Mexico,Pintura,Figura,Oleo,Tabla,60 x 40 cm,Artelista desde: 28 de Marzo de 2022,sin etiquetas,Obra vendida,Sin titulo sesenta y tres,Ricardo Cruz Fuentes,https://www.artelista.com/obra/pintura-figura-sin-titulo-sesenta-y-tres-1227502
Espana,Pintura,Marina,Acrilico,Lienzo,200 x 140 cm,Artelista desde: 16 de Julio de 2022,"azul, verde, colorido, mar, oleaje, energia",Obra vendida,oleaje de sentimientos / wave of feelings,Doris Duschelbauer,https://www.artelista.com/obra/pintura-marina-oleaje-de-sentimientos-wave-of-feelings-1232393
Estados Unidos,Pintura,Retrato,Tinta,Papel,234 x 512 cm,Artelista desde: 13 de Junio de 2022,"pinturas, arte, obras",100.014 MX$,La Anunciacion de Leonardo da Vinci,Vladimir  Pena ,https://www.artelista.com/obra/pintura-retrato-la-anunciacion-de-leonardo-da-vinci-1230962
Argentina,Pintura,Otros,Acrilico,Tela,190 x 150 cm,Artelista desde: 20 de Mayo de 2022,"#gris, #negro, #plateado#abstracto, #arquitectura, #arte, latinoamericano",98.014 MX$,LA CIUDAD DE LA FURIA,Gisela Gaffoglio,https://www.artelista.com/obra/pintura-la-ciudad-de-la-furia-1230049
Panama,Pintura,Animales,Oleo,Lienzo,155 x 110 cm,Artelista desde: 23 de Abril de 2022,"oil, arte, coleccion 2022",251.191 MX$,Pasion de gavilanes,Macister  Rodriguez ,https://www.artelista.com/obra/pintura-animal-pasion-de-gavilanes-1228840
Espana,Pintura,Paisaje,Acrilico,Lienzo,89 x 62 cm,Artelista desde: 19 de Julio de 2022,"caravaggio, apropiaciones, pintura, grupos, renacimiento, maestros",150.021 MX$,Filosofando,Carmelo ( Carmelohijo). Gonzalez Gutierrez,https://www.artelista.com/obra/pintura-paisaje-filosofando-1232579
Espana,Pintura,Otros,Media Mixta,Lienzo,130 x 160 cm,Artelista desde: 26 de Agosto de 2022,"gestual, informal, color, arte, actual, materico",118.017 MX$,""" La vida es color II """,Miguel Robledo Cimbron,https://www.artelista.com/obra/pintura-la-vida-es-color-ii-1234187
Espana,Pintura,Otros,Acrilico,Tabla,56 x 35 cm,Artelista desde: 29 de Marzo de 2022,"relieve, pintado, sobre, aglomerado",90.013 MX$,Confianza,Art Llorente Ruano ,https://www.artelista.com/obra/pintura-confianza-1227571
Espana,Pintura,Otros,Oleo,Lienzo,124 x 89 cm,Artelista desde: 6 de Abril de 2022,"carnaval, roses, placa, catalunya",96.014 MX$,Carnaval,Elena   Kudryashova,https://www.artelista.com/obra/pintura-carnaval-1228087
Espana,Pintura,Otros,Media Mixta,Lienzo,130 x 160 cm,Artelista desde: 8 de Abril de 2022,"gestual, informal, color, arte, actual, materico",118.017 MX$,""" Dripping sobre materia"" ",Miguel Robledo Cimbron,https://www.artelista.com/obra/pintura-dripping-sobre-materia-1228219
Portugal,Pintura,Deportes,Media Mixta,Lienzo,90 x 90 cm,Artelista desde: 23 de Mayo de 2022,sin etiquetas,110.016 MX$,Horse C123,Artem  Usa,https://www.artelista.com/obra/pintura-horse-c123-1230127
Argentina,Pintura,Paisaje,Acrilico,Tela,190 x 165 cm,Artelista desde: 5 de Mayo de 2022,"arquitectura, paisaje, mar, puerto, arte, latinoamericano",114.016 MX$,COMO ME SIENTO,Gisela Gaffoglio,https://www.artelista.com/obra/pintura-paisaje-como-me-siento-1229472
Espana,Pintura,Otros,Media Mixta,Lienzo,130 x 160 cm,Artelista desde: 14 de Mayo de 2022,"gestual, informal, color, arte, actual, materico",118.017 MX$,""" La vida es color "" ",Miguel Robledo Cimbron,https://www.artelista.com/obra/pintura-la-vida-es-color-1229838
Argentina,Pintura,Retrato,Oleo,Lienzo,79 x 85 cm,Artelista desde: 6 de Mayo de 2022,"flores, rostro, desnudos",160.023 MX$,"""EVA"" Alonso Loaiza ",Manuela  Gomez Valencia,https://www.artelista.com/obra/pintura-retrato-eva-alonso-loaiza-1229560
Espana,Pintura,Floral,Acrilico,Lienzo,190 x 90 cm,Artelista desde: 21 de Abril de 2022,"arte, art, flores, flower, lilacs, women",100.014 MX$,LILAS,Gloria Grau Ruiz,https://www.artelista.com/obra/pintura-floral-lilas-1228758
Mexico,Pintura,Figura,Oleo,Tabla,60 x 40 cm,Artelista desde: 3 de Mayo de 2022,sin etiquetas,Obra vendida,Otro beso de colores,Ricardo Cruz Fuentes,https://www.artelista.com/obra/pintura-figura-otro-beso-de-colores-1229294
Espana,Pintura,Otros,Media Mixta,Lienzo,98 x 130 cm,Artelista desde: 2 de Septiembre de 2022,"gestual, informal, color, arte, actual, materico",96.014 MX$,""" Delirio """,Miguel Robledo Cimbron,https://www.artelista.com/obra/pintura-delirio-1234464
Panama,Pintura,Bodegones,Media Mixta,Lienzo,95 x 95 cm,Artelista desde: 22 de Abril de 2022,"oil, surrealismo, obras de arte",203.967 MX$,Melodias de un violin ,Macister  Rodriguez ,https://www.artelista.com/obra/pintura-bodegon-melodias-de-un-violin-1228778
Mexico,Pintura,Figura,Oleo,Tabla,60 x 80 cm,Artelista desde: 9 de Enero de 2022,sin etiquetas,Obra vendida,Sin titulo nueve,Ricardo Cruz Fuentes,https://www.artelista.com/obra/pintura-figura-sin-titulo-nueve-1223172
Espana,Pintura,Figura,Oleo,Lienzo,81 x 116 cm,Artelista desde: 28 de Enero de 2022,#arte #art #artist #artwork #contemporaryart #love #desing #instaart #artistonintagram #a #cultura #artoftheday #artista #artgallery #pintura #instagood #n#bhfyp #mar #sea #marina #mmaartinezart #mmartinezarte #seascapes #summer #verano #water #realismo  ,230.033 MX$,Verano,Jose Higuera,https://www.artelista.com/obra/pintura-figura-verano-1224356
Espana,Pintura,Otros,Media Mixta,Lienzo,114 x 146 cm,Artelista desde: 30 de Noviembre de 2021,"gestual, informal, color, arte, actual, materico",104.015 MX$,""" Dripping entre siglos I "" ",Miguel Robledo Cimbron,https://www.artelista.com/obra/pintura-dripping-entre-siglos-i-1221467
Argentina,Pintura,Otros,Acrilico,Tela,115 x 190 cm,Artelista desde: 10 de Noviembre de 2021,"#abstracto, #arquitectura, #arte, latinoamericano, #arte, argentino",86.013 MX$,LA VIDA NO ES PERFECTA,Gisela Gaffoglio,https://www.artelista.com/obra/pintura-la-vida-no-es-perfecta-1220789
Rumania,Pintura,Otros,Oleo,Lienzo,100 x 100 cm,Artelista desde: 11 de Febrero de 2022,"art, modern, red",130.019 MX$,"O iarna abstracta, Bissinger",Elena Bissinger elly6402,https://www.artelista.com/obra/pintura-o-iarna-abstracta-bissinger-1225189
Espana,Pintura,Otros,Otros,Otros,120 x 48 cm,Artelista desde: 1 de Enero de 2022,"nyc, new, york, street, calle, light",92.013 MX$,New York #100,Socrates Rizquez,https://www.artelista.com/obra/pintura-new-york-100-1222854
Espana,Pintura,Otros,Media Mixta,Lienzo,130 x 162 cm,Artelista desde: 5 de Enero de 2022,"gestual, informal, color, arte, actual, materico",118.017 MX$,""" Movimiento gestual XXI """,Miguel Robledo Cimbron,https://www.artelista.com/obra/pintura-movimiento-gestual-xxi-1222993
Espana,Pintura,Figura,Oleo,Lienzo,81 x 100 cm,Artelista desde: 8 de Febrero de 2022,"figura, desnudo, oleo, danza",84.012 MX$,Bailando a Antolin Artaud.,Fernando Hervas,https://www.artelista.com/obra/pintura-figura-bailando-a-antolin-artaud-1224911
Argentina,Pintura,Paisaje,Oleo,Lienzo,130 x 90 cm,Artelista desde: 27 de Marzo de 2022,"paisaje, oleo, realismo, montana, figurativo, mountain",251.191 MX$,"""Valle Magico""",Yamil Picco,https://www.artelista.com/obra/pintura-paisaje-valle-magico-1227391
Argentina,Pintura,Paisaje,Acrilico,Tela,187 x 126 cm,Artelista desde: 25 de Febrero de 2022,"abstracto, ciudad, tren, arquitectura, magia, paisaje",86.013 MX$,Ciudad magica ,Gisela Gaffoglio,https://www.artelista.com/obra/pintura-paisaje-ciudad-magica-1226061
Mexico,Pintura,Retrato,Oleo,Lienzo,100 x 100 cm,Artelista desde: 13 de Febrero de 2022,"hiperrealismo, mujer, figurativo",36.000 MX$,Huggun,Kharlo  Nivis,https://www.artelista.com/obra/pintura-retrato-huggun-1225324
Espana,Pintura,Otros,Oleo,Lienzo,161 x 195 cm,Artelista desde: 26 de Diciembre de 2021,"silouette, white, multi-color",100.014 MX$,Aphrodite,Leo Otzen,https://www.artelista.com/obra/pintura-aphrodite-1222606
Argentina,Pintura,Paisaje,Acrilico,Tela,190 x 150 cm,Artelista desde: 26 de Diciembre de 2021,"#arte, latinoamericano, #arte, argentino, arte, contemporaneo",114.016 MX$,LIFE IS GOLDEN,Gisela Gaffoglio,https://www.artelista.com/obra/pintura-paisaje-life-i-golden-1222612
Espana,Pintura,Figura,Oleo,Lienzo,116 x 81 cm,Artelista desde: 28 de Enero de 2022,"#arte, #art, #artist, #artwork, #contemporaryart, #love",160.023 MX$,Mujer del pelo rojo II,Jose Higuera,https://www.artelista.com/obra/pintura-figura-mujer-del-pelo-rojo-ii-1224363
Chile,Pintura,Otros,Acrilico,Tabla,300 x 100 cm,Artelista desde: 18 de Febrero de 2022,"abstracto, colorido, movimiento, vanguardia",297.410 MX$,Heraclito en Pekin,Francisco Javier Campla Livesey,https://www.artelista.com/obra/pintura-heraclito-en-pekin-1225589
Espana,Pintura,Paisaje,Oleo,Lienzo,80 x 120 cm,Artelista desde: 13 de Enero de 2022,"#pinturaartistica, #pintorrealista, #arte, #art, #oilcanvas, #realismo",140.020 MX$,P&B Shopping,Jose Higuera,https://www.artelista.com/obra/pintura-paisaje-pb-shopping-1223462
Espana,Pintura,Figura,Oleo,Lienzo,100 x 81 cm,Artelista desde: 28 de Enero de 2022,"#arte, #art, #artist, #artwork, #contemporaryart, #love",120.017 MX$,Ternura,Jose Higuera,https://www.artelista.com/obra/pintura-figura-ternura-1224368
Espana,Pintura,Figura,Oleo,Lienzo,116 x 81 cm,Artelista desde: 28 de Enero de 2022,"#arte, #art, #artist, #artwork, #contemporaryart, #love",280.040 MX$,Siesta al sol,Jose Higuera,https://www.artelista.com/obra/pintura-figura-siesta-al-sol-1224376
Ucrania,Pintura,Retrato,Acrilico,Lienzo,150 x 120 cm,Artelista desde: 13 de Octubre de 2021,"hero, men, food, health, red, apples",Obra vendida,The Hero of the Modern Times,Nataliya Bagatskaya,https://www.artelista.com/obra/pintura-retrato-the-hero-of-the-modern-times-1219369
Espana,Pintura,Otros,Media Mixta,Lienzo,97 x 130 cm,Artelista desde: 2 de Marzo de 2022,"gestual, informal, color, arte, actual, materico",96.014 MX$,""" Dripping entre siglos IV"" ",Miguel Robledo Cimbron,https://www.artelista.com/obra/pintura-dripping-entre-siglos-iv-1226223
Espana,Pintura,Otros,Otros,Otros,95 x 95 cm,Artelista desde: 1 de Noviembre de 2021,"nyc, new, york, central, park, monument",92.013 MX$,New York #96 (Bethesda Terrace Arcade #3),Socrates Rizquez,https://www.artelista.com/obra/pintura-new-york-96-bethesda-terrace-arcade-3-1220272
Espana,Pintura,Floral,Media Mixta,Tabla,200 x 100 cm,Artelista desde: 7 de Agosto de 2021,sin etiquetas,90.013 MX$,AMAPOLAS ANTIGUAS diptico,ANDREINA SCANU,https://www.artelista.com/obra/pintura-floral-amapolas-antiguas-diptico-1215834
Espana,Pintura,Otros,Media Mixta,Lienzo,146 x 114 cm,Artelista desde: 12 de Julio de 2021,"abstracto, escultorico, relieves, resina, dorado",Obra vendida,El nido dorado,B E,https://www.artelista.com/obra/pintura-el-nido-dorado-1214550
Espana,Pintura,Figura,Otros,Otros,95 x 95 cm,Artelista desde: 21 de Septiembre de 2021,"nyc, new, york, sculpture, escultura, juzgado",106.015 MX$,New York #94 (Wisdom),Socrates Rizquez,https://www.artelista.com/obra/pintura-figura-new-york-94-wisdom-1218266
Espana,Pintura,Paisaje,Oleo,Lienzo,98 x 130 cm,Artelista desde: 26 de Agosto de 2021,"cuba, habana, fachadas, habana, vieja, calle",84.012 MX$,Cl.San Ignacio-La Habana,Tomas Castano,https://www.artelista.com/obra/pintura-paisaje-clsan-ignacio-la-habana-1216810
Argentina,Pintura,Marina,Acrilico,Lienzo,145 x 190 cm,Artelista desde: 7 de Abril de 2021,"#abstracto, #COLORES, vibrantes, #azul, #navegar, #velero",106.015 MX$,Magica aparicion,Gisela Gaffoglio,https://www.artelista.com/obra/pintura-marina-magica-aparicion-1209482
Espana,Pintura,Figura,Acrilico,Lienzo,160 x 120 cm,Artelista desde: 17 de Junio de 2021,"mitologia, figura, cuerpo, neptuno, danza",87.213 MX$,"Neptuno, un murmullo que crece",Daniel Dacio Garcia Fernandez,https://www.artelista.com/obra/pintura-figura-neptuno-un-murmullo-que-crece-1213373
Argentina,Pintura,Marina,Acrilico,Tela,185 x 115 cm,Artelista desde: 6 de Octubre de 2021,"#marina, #paisaje, #navegar, #deporte, #abstracto, #arquitectura",Obra vendida,HAPPY HOME,Gisela Gaffoglio,https://www.artelista.com/obra/pintura-marina-happy-home-1219136
Espana,Pintura,Marina,Acrilico,Lienzo,208 x 148 cm,Artelista desde: 21 de Septiembre de 2021,"azul, TUQUESA, agua, fluyendo, tranquilidad, slow",104.015 MX$,Blue flow,Doris Duschelbauer,https://www.artelista.com/obra/pintura-marina-blue-flow-1218321
Espana,Pintura,Paisaje,Otros,Otros,120 x 48 cm,Artelista desde: 4 de Mayo de 2021,"nyc, new, york, street, calle, light",92.013 MX$,New York #90,Socrates Rizquez,https://www.artelista.com/obra/pintura-paisaje-new-york-90-1210996
Espana,Pintura,Otros,Otros,Otros,95 x 95 cm,Artelista desde: 21 de Septiembre de 2021,"nyc, new, york, cab, taxi, street",92.013 MX$,New York #93,Socrates Rizquez,https://www.artelista.com/obra/pintura-new-york-93-1218265
Venezuela,Pintura,Desnudos,Oleo,Lienzo,90 x 160 cm,Artelista desde: 10 de Agosto de 2021,"gea, godess, diosa, planeta, tierra, tierra",94.014 MX$,GEA,ALEJANDRO BRITO GONZALEZ,https://www.artelista.com/obra/pintura-desnudo-gea-1215980
Espana,Pintura,Bodegones,Oleo,Lienzo,100 x 81 cm,Artelista desde: 9 de Julio de 2021,"hiperrealismo, luz, color, cristal, transparencias, botellas",104.015 MX$,"""Frascos, botella azul y aceituna""",miguel angel nunez,https://www.artelista.com/obra/pintura-bodegon-frascos-botella-azul-y-aceituna-1214440
Espana,Pintura,Paisaje,Otros,Otros,120 x 48 cm,Artelista desde: 30 de Mayo de 2021,"nyc, new, york, street, calle, traffic",92.013 MX$,New York #91,Socrates Rizquez,https://www.artelista.com/obra/pintura-paisaje-new-york-91-1212360
Argentina,Pintura,Paisaje,Acrilico,Tela,190 x 144 cm,Artelista desde: 23 de Septiembre de 2021,"#abstracto, #arquitectura, #arte, latinoamericano, #arte, argentino",116.017 MX$,Equinocio,Gisela Gaffoglio,https://www.artelista.com/obra/pintura-paisaje-equinocio-1218457
Cuba,Pintura,Animales,Media Mixta,Tabla,86 x 55 cm,Artelista desde: 18 de Agosto de 2021,"animales, realismo, conceptual",120.017 MX$,!Se tenia que decir y se dijo!,Marcos A. Ruiz Molina,https://www.artelista.com/obra/pintura-animal-se-tenia-que-decir-y-se-dijo-1216493
Estados Unidos,Pintura,Figura,Oleo,Tabla,80 x 102 cm,Artelista desde: 12 de Agosto de 2021,"figura, desnudo, Fraccionado",1.360.191 MX$,Desnudo Fraccionado (Julio Martin Caro),Cesar Perez,https://www.artelista.com/obra/pintura-figura-desnudo-fraccionado-julio-martin-caro-1216124
Espana,Pintura,Otros,Oleo,Lienzo,81 x 100 cm,Artelista desde: 30 de Julio de 2021,"expresionismo, figurativo, retrato, fantasia, rojos, purpuras",110.016 MX$,Napoleon y Josefina,Clara de Bobes,https://www.artelista.com/obra/pintura-napoleon-y-josefina-1215246
Argentina,Pintura,Paisaje,Oleo,Lienzo,80 x 80 cm,Artelista desde: 17 de Julio de 2021,"ciudad, abstracto, calle, autos, azul, obelisco",Obra vendida,Buenos Aires azul,Elisa Chupik,https://www.artelista.com/obra/pintura-paisaje-buenos-aires-azul-1214763
Venezuela,Pintura,Desnudos,Oleo,Lienzo,160 x 90 cm,Artelista desde: 10 de Agosto de 2021,"nude, desnudo, brown, marron, alejandrobrito",90.013 MX$,SUENO DE OTONO,ALEJANDRO BRITO GONZALEZ,https://www.artelista.com/obra/pintura-desnudo-sueno-de-otono-1215986
Espana,Pintura,Bodegones,Oleo,Lienzo,110 x 70 cm,Artelista desde: 8 de Septiembre de 2021,"cafeteras, piedras, realismo, figurativo, contemporaneo",85.412 MX$,Naturaleza muerta con cafeteras #1,mario galarza,https://www.artelista.com/obra/pintura-bodegon-naturaleza-muerta-con-cafeteras-1-1217424
Espana,Pintura,Paisaje,Otros,Otros,120 x 48 cm,Artelista desde: 19 de Abril de 2021,"nyc, new, york, bus, street, calle",92.013 MX$,New York #89,Socrates Rizquez,https://www.artelista.com/obra/pintura-paisaje-new-york-89-1210096
Argentina,Pintura,Otros,Acrilico,Tela,195 x 180 cm,Artelista desde: 5 de Diciembre de 2020,"#abstracto, #artecontemporaneo, #arte, argentino, #artelatinoamericano, #alegria",Obra vendida,Unpredictable as life ,Gisela Gaffoglio,https://www.artelista.com/obra/pintura-unpredictable-as-life-1201370
Espana,Pintura,Figura,Otros,Otros,123 x 83 cm,Artelista desde: 23 de Noviembre de 2020,"nyc, new, york, brooklyn, Jane's, carousel",92.013 MX$,New York #83,Socrates Rizquez,https://www.artelista.com/obra/pintura-figura-new-york-83-1200526
Espana,Pintura,Bodegones,Oleo,Tabla,27 x 35 cm,Artelista desde: 4 de Marzo de 2021,"piolin, vino, cristal",140.020 MX$,Javier Mulio ,Pippi  Cazatesoros ,https://www.artelista.com/obra/pintura-bodegon-javier-mulio-1207513
Espana,Pintura,Figura,Oleo,Tabla,120 x 113 cm,Artelista desde: 27 de Septiembre de 2020,"figurativo, textil, oleo, realismo, collage, tabla",Obra vendida,ALEGORIA,Francesc Marco,https://www.artelista.com/obra/pintura-figura-alegoria-1196750
Espana,Pintura,Otros,Oleo,Tabla,90 x 180 cm,Artelista desde: 19 de Febrero de 2021,"cebra, mascara, tumbado, hombre",112.316 MX$,Escenas cotidianas de aspirantes a mutantes 2,Ana E. Calvo Jimenez,https://www.artelista.com/obra/pintura-escenas-cotidianas-de-aspirantes-a-mutantes-2-1206723
Espana,Pintura,Otros,Otros,Tabla,100 x 152 cm,Artelista desde: 8 de Diciembre de 2020,"pareja, tecnica, mixta, abstracto",130.019 MX$,Technique Mixte Papier Maroufle,Benjamin Pollentes,https://www.artelista.com/obra/pintura-technique-mixte-papier-maroufle-1201474
Espana,Pintura,Bodegones,Otros,Otros,120 x 48 cm,Artelista desde: 25 de Marzo de 2021,"caramelos, chicles, dulces, sweets, candies, bubble",92.013 MX$,Sweets #01,Socrates Rizquez,https://www.artelista.com/obra/pintura-bodegon-sweets-01-1208689
Cuba,Pintura,Figura,Acrilico,Lienzo,218 x 138 cm,Artelista desde: 9 de Febrero de 2021,"animal, pintura, acrilico",160.023 MX$,Encuentro,Raul Rodriguez,https://www.artelista.com/obra/pintura-figura-encuentro-1205886
Argentina,Pintura,Otros,Acrilico,Tela,163 x 190 cm,Artelista desde: 14 de Febrero de 2021,"#artelatinosmericano, #abstraccion, #artecontemporaneo, #, arquitectura, #coudafes",114.016 MX$,Entre olas y milongas ,Gisela Gaffoglio,https://www.artelista.com/obra/pintura-entre-olas-y-milongas-1206320
Espana,Pintura,Paisaje,Otros,Otros,95 x 121 cm,Artelista desde: 21 de Enero de 2021,"nyc, new, york, bar, rain, lluvia",120.017 MX$,New York #86,Socrates Rizquez,https://www.artelista.com/obra/pintura-paisaje-new-york-86-1204240
Espana,Pintura,Paisaje,Acrilico,Lienzo,195 x 114 cm,Artelista desde: 22 de Enero de 2021,"mar, abstracto, colores, marina, recuerdos, alegria",Obra vendida,BOSQUE ENCANTADO,Gregorio Negro,https://www.artelista.com/obra/pintura-paisaje-bosque-encantado-1204303
Estados Unidos,Pintura,Bodegones,Oleo,Lienzo,20 x 26 cm,Artelista desde: 14 de Enero de 2021,"triptico, frutas, naturaleza, muerta, realismo, hiperrealismo",130.620 MX$,Triptych,Carlos Bruscianelli,https://www.artelista.com/obra/pintura-bodegon-triptych-1203772
Espana,Pintura,Otros,Acrilico,Lienzo,148 x 208 cm,Artelista desde: 18 de Noviembre de 2020,"verde, celeste, colorido, energia, xxl, grande",94.014 MX$,Happiness happens,Doris Duschelbauer,https://www.artelista.com/obra/pintura-happiness-happens-1200229
Rumania,Pintura,Otros,Oleo,Lienzo,120 x 100 cm,Artelista desde: 19 de Febrero de 2021,abstract,Obra vendida,"abstract with birds and flowers,original art Bissinger",Elena Bissinger elly6402,https://www.artelista.com/obra/pintura-abstract-with-birds-and-flowersoriginal-art-bissinger-1206713
Espana,Pintura,Animales,Acrilico,Otros,70 x 100 cm,Artelista desde: 6 de Noviembre de 2020,"cuernos, rojo, negro, fuerza, torro",81.212 MX$,Lujuria,Hanni Aita,https://www.artelista.com/obra/pintura-animal-lujuria-1199649
Espana,Pintura,Figura,Otros,Otros,123 x 83 cm,Artelista desde: 23 de Noviembre de 2020,"nyc, new, york, brooklyn, Jane's, carousel",Obra vendida,New York #84,Socrates Rizquez,https://www.artelista.com/obra/pintura-figura-new-york-84-1200527
Argentina,Pintura,Paisaje,Acrilico,Tela,190 x 144 cm,Artelista desde: 12 de Enero de 2021,"#abstracto, #arquitectura, #arte, latinoamericano, #arte, argentino",112.016 MX$,Urban impressions,Gisela Gaffoglio,https://www.artelista.com/obra/pintura-paisaje-urban-impressions-1203679
Espana,Pintura,Paisaje,Oleo,Lienzo,92 x 73 cm,Artelista desde: 31 de Enero de 2021,"viva, madrid, bar, fachadas, madrid, paisaje",84.012 MX$,Viva Madrid- bar,Tomas Castano,https://www.artelista.com/obra/pintura-paisaje-viva-madrid-bar-1205002
Estados Unidos,Pintura,Bodegones,Oleo,Lienzo,73 x 92 cm,Artelista desde: 15 de Marzo de 2021,"rayas, frutas, latinoamerica, venezuela, mandarina, limon",341.620 MX$,Stripes & Fruits,Carlos Bruscianelli,https://www.artelista.com/obra/pintura-bodegon-stripes-fruits-1208156
Espana,Pintura,Retrato,Oleo,Lienzo,73 x 116 cm,Artelista desde: 13 de Noviembre de 2020,"dolor, pasion, retrato, sumision, fantasnma, historia",100.014 MX$,Pasion,Clara de Bobes,https://www.artelista.com/obra/pintura-retrato-pasion-1200007
Espana,Pintura,Retrato,Oleo,Lienzo,81 x 130 cm,Artelista desde: 13 de Noviembre de 2020,"mirada, conocimiento, poder, oro, azul, contraste",111.016 MX$,El Mago,Clara de Bobes,https://www.artelista.com/obra/pintura-retrato-el-mago-1200005
Espana,Pintura,Otros,Acrilico,Lienzo,150 x 150 cm,Artelista desde: 2 de Noviembre de 2020,"expresionismo, arte, pintura, composicion",100.014 MX$,Armonia,Juan  Cortes,https://www.artelista.com/obra/pintura-armonia-1199381
Mongolia,Pintura,Otros,Oleo,Lienzo,150 x 150 cm,Artelista desde: 18 de Septiembre de 2020,"flower, Ger, family",84.012 MX$,'Migration of the Sun' ,Amarsaikhan  Namsraijav,https://www.artelista.com/obra/pintura-migration-of-the-sun-1196105
Peru,Pintura,Retrato,Acrilico,Lienzo,140 x 170 cm,Artelista desde: 26 de Mayo de 2020,"mujer, peru, amazonas, shipiba",164.023 MX$,Shipiba,Vito Loli,https://www.artelista.com/obra/3330094239707353-shipiba.html
Espana,Pintura,Figura,Otros,Otros,148 x 95 cm,Artelista desde: 3 de Junio de 2020,"persona, mujer, sofa, retrato, reflexion",106.015 MX$,Just Thinking,Socrates Rizquez,https://www.artelista.com/obra/3580101179207063-just-thinking.html
Espana,Pintura,Figura,Oleo,Tabla,134 x 162 cm,Artelista desde: 6 de Octubre de 2020,"figurativo, textil, oleo, realismo, collage, tabla",Obra vendida,ALEGORIA X,Francesc Marco,https://www.artelista.com/obra/pintura-figura-alegoria-x-1197277
Costa Rica,Pintura,Desnudos,Oleo,Lienzo,250 x 149 cm,Artelista desde: 3 de Julio de 2020,"realismo, figurativismo, arte, contemporaneo, arte, social",301.429 MX$,Una prenda nueva,Man Yu Fung,https://www.artelista.com/obra/pintura-desnudo-una-prenda-nueva-1191441
Estados Unidos,Pintura,Bodegones,Oleo,Lienzo,138 x 65 cm,Artelista desde: 22 de Octubre de 2020,sin etiquetas,237.546 MX$,Nectarines II,Carlos Bruscianelli,https://www.artelista.com/obra/pintura-bodegon-nectarines-ii-1198696
Peru,Pintura,Retrato,Acrilico,Lienzo,120 x 180 cm,Artelista desde: 6 de Mayo de 2020,"mujer, diosa, protectora, peru, belleza",180.026 MX$,Killa Punchay,Vito Loli,https://www.artelista.com/obra/6050293366605296-killa-punchay.html
Mongolia,Pintura,Otros,Oleo,Lienzo,150 x 200 cm,Artelista desde: 14 de Octubre de 2020,"flower, Ger, color",144.021 MX$,Migration,Amarsaikhan  Namsraijav,https://www.artelista.com/obra/pintura-migration-1197993
Mongolia,Pintura,Otros,Oleo,Lienzo,150 x 130 cm,Artelista desde: 8 de Octubre de 2020,"migration, man, color",92.013 MX$,Way of Migration,Amarsaikhan  Namsraijav,https://www.artelista.com/obra/pintura-way-of-migration-1197487
Espana,Pintura,Otros,Media Mixta,Lienzo,300 x 195 cm,Artelista desde: 27 de Octubre de 2020,"covid, pandemia, agorafobia, disfraces, simbolos, alegoria",Obra vendida,Alegoria de la Agorafobia,Jesus Fernandez Escobar,https://www.artelista.com/obra/pintura-alegoria-de-la-agorafobia-1198964
Estados Unidos,Pintura,Bodegones,Oleo,Lienzo,91 x 63 cm,Artelista desde: 23 de Octubre de 2020,sin etiquetas,200.953 MX$,Tic Tac,Carlos Bruscianelli,https://www.artelista.com/obra/pintura-bodegon-tic-tac-1198710
Espana,Pintura,Otros,Media Mixta,Lienzo,130 x 180 cm,Artelista desde: 22 de Septiembre de 2020,"jackson, pollock, splashes, drips, colorful, salpicaduras",94.014 MX$,Emotional outbreak,Doris Duschelbauer,https://www.artelista.com/obra/pintura-emotional-outbreak-1196437
Italia,Pintura,Paisaje,Acrilico,Tela,70 x 50 cm,Artelista desde: 15 de Octubre de 2020,"pittura, contemporanea, originale, firenze, art, arte",100.014 MX$,"Firenze,viaggio nel tempo",Giuseppe Sticchinain,https://www.artelista.com/obra/pintura-paisaje-firenzeviaggio-nel-tempo-1198100
Estados Unidos,Pintura,Bodegones,Oleo,Lienzo,160 x 80 cm,Artelista desde: 23 de Octubre de 2020,sin etiquetas,200.953 MX$,Marbels JN-32,Carlos Bruscianelli,https://www.artelista.com/obra/pintura-bodegon-marbels-jn-32-1198718
Espana,Pintura,Retrato,Oleo,Lienzo,81 x 116 cm,Artelista desde: 6 de Septiembre de 2020,"elegancia, glamour, naranjas, azules",90.013 MX$,La Reina,Clara de Bobes,https://www.artelista.com/obra/pintura-retrato-la-reina-1195466
